,user_id,business_id,stars,text
677897,DvTjaBziZCXy6gXWNjIYZQ,KR2kRmHnRCaNzOUEGoB25w,5.0,Had the porky sandwich with a coffee milkshake. Both were so good.   Severs were very nice and attentive too.
1963451,fOlaB0zVwj6gn2YtnDZCkA,u_s0zWoTlX7PoYDjtKAK2w,5.0,"I don't understand all the haters here. If you've never had REAL NY pizza, this is it!! I grew up in Mill Basin, a neighborhood in Brooklyn. The sausage pizza is just like being home. My personal favorite is the small antipasto (w anchovies) and garlic knots.

The lunch special of two slices and a cup of soda for $3.75 is a great value and right out of Brooklyn.

You may claim you're from NY, but if you're living in West BuFu, Washington, you don't know diddly about pizza. Go back to eating that mush they sell at Peter Piper's or Domino's."
1456813,VA4GOxU-RmRkqnNDTlrpgQ,TdLKAcHRwAr6OYG8RP7iWg,4.0,"I took my kids there for a no fuss Friday evening dinner. And no fuss is what I got. They were silent until every last flavorful bight of hamburger, chicken bacon sandwich, and hot dog were eaten. Skip the mediocre fries. The fried pickles is where its at. The mac and cheese side is out of this world homemade. And I can't say enough about the hot chocolate sundae with homemade brownie. Park Road Soda Shoppe is an affordable dining option for families."
2873842,zsZBYWYEmLLs81_f-HHM8w,WPkRg0eaJZFbyXm0uNb1ZA,4.0,"I had Cabo's bookmarked forever and finally got to try it for a late lunch one Friday - I was truly sorry  I waited so long, as it is relatively close to my home.

Located at the back of Carmel Commons, off of Carmel Rd, the parking spaces seemed a bit narrow, so I parked at the end of the lot as to not get my doors banged up.  On a Friday around 2:00, there wasn't much of a crowd at all and I was quickly seated and then almost immediately greeted by my server.  My drink order of a Coke Zero was brought quickly and kept filled.  I really enjoyed the complimentary salsa and tortilla chips.  The salsa is a well blended mix of tomatoes and other ingredients, which is what I prefer to the chunkier salsas.  It was also not overwhelmingly cilantro'ed, which I was very happy about.  An order of cheese dip came quickly to the table and it was delicious.  Creamy and well flavored, and the tortilla chips were perfectly salted and held up well to the queso.

My lunch order was a steak Chimichanga - shredded beef in a flour tortilla, covered with queso and served with rice and beans.  The rice beans were both mexican restaurant standard issue, though better than most.  The beans were a good consistency and the rice wasn't a dried out mess.  The meat inside of the chimichanga was well seasoned.

Though I had to unbutton my pants, I did finish my lunch and it was very good.  Service was excellent.  Price was average.  I will definitely return to Cabo's."
23720,-Vu7L3U7-kxDyY1VHxw3zw,PIfqmSxZyjr9AGMuAbNBbw,5.0,"SO FRESH!!!!!!!!!!

I am so impressed with Sawasdee Thai! Usually I'll wait to review a place until I've sampled a variety of things but this place is off the charts for inexpensive takeout\/delivery. I just ordered Tom Kha and a vegetarian eggplant dish. The soup was incredibly flavorful and full of fresh herbs and veggies... thee best tom kha I've had to date! I requested my eggplant at a spice level 7 and it did not disappoint! 

I will definitely be eating here again and recommend it to anyone who likes fresh food fast."
2539138,sEpOSEvfLgatlavQKYE7GA,NLEe-RzDSU-5BN6xp_WWCw,4.0,"4.5 ""finger lickin good"" stars!

I have been preparing vegan meals these past few days and my carnivorous husband has been such a trooper trying my cooking.  Well, apparently tonight he had enough of the kale and soy protein posing as beef, and was in the mood for some good ol' soul food. 

With a raving recommendation from one of his patients- we gave M&M Soul Food Cafe a try.  The complimentary cornbread pancakes already made such a great first impression.  Being a loyal customer of the original Roscoe's House of chicken and waffles in LA, I had to try M&M's version.  I feel like such a traitor because Roscoe's has NOTHING on them.  The seasoning on the fried chicken wings was so delicious, I was actually licking my fingers after every bite.  It was perfectly seasoned and not overly salty at all.  The waffles were also fabulous. A little sweeter than I am used to, but that was OK because it just meant I didn't need the syrup. The sweet and salty combo was perfection.  I ordered a side of fried okra which were OK and the collard greens that I devoured. 

My husband ordered the smothered chicken (dark meat) and that too was delicious. He ordered sides of yams and mac n' cheese.  The sides were good too, but the chicken was definitely the star.  There is no ""kids menu"" but our toddler daughter ate from our plates and was licking her fingers too!

To top it off, we finished the meal with some peach cobbler and it was the perfect sweet finish to a fabulous meal.  We originally wanted to try the BBQ short ribs but they had just run out when we came in, so that just gives us an excuse to come back even sooner (after a few nights of vegan meals, of course). 

Tim, the owner, made us feel at home from the second we sat down to the second we walked out the door.  And we actually did feel like we were at home, because we were able to watch the NBA playoffs as well."
676530,DtajKETYfOtSsKJCD33SOw,Q7m8G4579-XYKV3LMW8V7g,4.0,"8\/11\/14 Came right when it opened so there was no wait and the host seated is immediately! I think we came to roll heaven!! There was a binder full of different rolls, it was amazing! 

The husband ordered the Rock & Roll, it has tuna, salmon, white fish, crab, radish, asparagus, radish sprouts and yamagobo, no rice and is wrapped in cucumber...I ordered the nabeyaki udon.

We liked the interior of the place all wooden tables with a long sushi bar and very nicely insulated, keeping us cool in the heat...We definitely plan to come back!"
849750,Hmjo4sLUIHpuBs5aenOT7w,BjBNZvTp4cKzUQIP4xONng,5.0,"My spouse and I were looking for a specific Pathfinder book and didn't feel like ordering it online. A couple people had recommended Action Comics as a good RPG\/boardgame store and we were in the area, so we decided to check it out.

The store itself is larger than many other comic stores. Most of the middle of the store is dedicated to tables. When we walked in on a Saturday there were four or five games going on. It looks like a popular place to play Magic or Warhammer. 

The selection of boardgames was good, and I appreciated the ""Free Boardgames to play"" section, although I didn't take them up on that. I was also ecstatic that  they had miniatures for Pathfinder and many other games. I don't play Warhammer, but they had a decent section of the wall dedicated to pieces from that game.

I didn't purchase any comics, but they seemed to have a good assortment. They also had other bits of nerdery: t-shirts, posters, statues, pins, materials for painting figures and dice. We ended up buying a lot of paint and brushes for painting our miniatures, and the employees\/other patrons were very helpful with their advice.

If I lived in the area I would definitely consider playing there."
308310,5jz-BicrPZGCp-Mi-oBRUw,63bHLJUomC22Xdm3IjgBtw,5.0,Decided to check out this joint for my annual Christmas Eve Thai fest and soo happy that I did! Their curries were spicy and full of flavor and their spring rolls were delicious! I can't wait to come back and try more of their dishes. One of the more authentic Thai places I have found in Arizona!
2346166,nyl_1VcRIAyI55bb_scpdw,mk7xgXuTVMfv4sH7GD2SoA,3.0,"My rating is 3.5 stars.

I had an unusual experience at Green Grotto. I need to provide some context. 

My friend and I were going to Cavalia on a Friday night. The show started at 19:30. We needed a place to grab a bite before the show. She recommended coming here. I was game. 

I picked her up from her workplace at 17:00 and we headed over. 

This eatery is in the same plaza as Winners. I already knew that I would be coming back. I parked and we walked in. 

It wasn't too busy, but we had to wait for a table to be cleaned off. We sat in the waiting area and admired the coziness of the place. There were books and magazines that seemed like a decent place to hang out. 

While sitting there, I checked in on Yelp. Our table was ready, so we moved over there. 

The menu is in a magazine format, which was creative and cool. We got complementary popcorn as we figured out what we wanted to order. 

One of the staff members asked if one of us was Mary. I said that I was. He got an ""urgent call"" for me on the eatery's phone. That was odd, as only my friend and I knew that I was here. 

I took the call. Some guy, who wasn't articulate, said that that he was a manager who had to ""cancel [my] membership."" I asked him I repeat and clarify. He tried, but was incoherent​. I then ended the call and handed the cordless receiver to the staff person. 

My word of caution pertains to checking in on Yelp at this location. Obviously, this person had nothing better to do but take a look at check-ins, call this location, and waste my time. 

Anyway, my friend and I ordered the salt and pepper chicken (we opted to have it without rice), and Taiwanese fried rice noodles. We had wanted some other noodle dish, but the place was out of it. 

As for drinks, I went with an iced mango green tea with tapioca. My friend had requested a drink that was also unavailable and went with an iced matcha drink with jelly. I liked my drink. It was refreshing and yummy. She enjoyed herself, too. 

We both loved the salt and pepper chicken. Delicious! The fried rice noodles were different. It was okay in my books. It wasn't horrible, but it didn't wow me. 

For dessert, I wanted to give the tiramisu dessert a try. Guess what? It was unavailable. See a trend? My friend and I ordered the matcha crepe cake and chocolate truffle cake. We then attempted to use a knife to split them. Thank goodness we aren't surgeons! 

Both desserts were amazing! Two thumbs up from me. 

I love the cozy atmosphere of this place. Washrooms are clean. My friend had a rewards card. I don't know how it works here, but it's an app. You can definitely do takeout for all your bubble tea and food needs. Just be cautious about checking in. 

(172)"
2490429,rCIgNuy8_Q7cxe_J2Fwnqw,LelAlfuj5oVRF9CQdWLsNQ,4.0,"There is so much to try here that I have not yet had the pleasure! I have been here twice and for both occasions it was for breakfast. I have gotten the Flower Child Scramble both times as it is absolutely divine. It comes with a side of hash browns that are always cooked to perfection! I have also had a mimosa there and they make them with fresh oranges, yum! The other guests I dined with had the Carrot Cake Pancakes, the Le Pig, and some sort of Mexican scramble that they all loved! Overall, breakfast is A+, I just need to come here for lunch\/dinner next!"
2805339,yLt281iJiskFXU_WfGlKGg,3l54GTr8-E3XPbIxnF_sAA,5.0,"This place is simply amazing! I came here during lunch, luckily the lunch rush had not hit yet, so there was plenty of room. The service was friendly enough, and the food was beyond good.

I ordered the PB J burger medium rare. When it came out I cut it into 4 pieces just to make sure I wouldn't make a mess (this is one messy burger) It was cooked perfectly medium rare, which is apparently harder to do than it sounds. Words can not describe how good this burger was, its a must try. The fries were pretty good as well. 

If your looking for a good burger and your in the area, stop by, you will not be disappointed."
1469120,VTLRv5RsJR-NU17JP9vhZg,yh0mvFCjZuMKy562h2_d_A,5.0,"Minh Anh is wonderful. I cannot say enough good things about it.

It's hard to go wrong with with your order, that's for sure. The Pho Saigon (with cinnamon beef) is to die for. I am reckless with my application of Sriracha when it comes to pho, and the flavor of the cinnamon still came through easily. The Egg Roll Vermicelli is a wonderful, unique, and pretty huge dish, could probably be split between two people.  And I highly recommend the Lotus Root Salad. It's an awesome, refreshing and sweet salad (definitely big enough to share) that's crunchy and glorious.

The service is friendly and fast, and the price is great! It gives Superior Pho a run for its money as my favorite Vietnamese in the city."
309453,5lyRtA4uRP7U13zPUr3I4g,PjchgHDQwjepIbg4w-DCyw,3.0,"Lobby Bar Absolut and soda = $12.00
Life Absolut and Soda = $15.00 

Bottle Girls in VIP are aggressive and pour as such.  Overall nice atmosphere and staff was friendly.  Went on a Sunday night."
2633485,uQSnFzTJWZoPQbm_yn6PgA,OEfvfMCJyC5kRWeRQQYQMg,5.0,"This is thee place to be. They have:

1.        FOOD
2.        FOOD
3.        FOOD
4.        Bubble Tea!
5.        Bootleg DVDs
6.        Bootleg everything.. LOL
7.        Nail salons(sss) - yeah, there's ALOT

Every Saturday when I need to satisfy my boredom and hungry stomach, I come here. They have curry fish balls, beef balls, tripe, skewers, all sorts of Taiwanese snacks, bubble tea, and more!

It's the place where they have (almost) everything.

I come here for my eye exams, to purchase my glasses and contacts, get my purdyyy nails done, and to buy CHINESE MOVIES!

Oh and the good old days.. STICKY PICTURES. Unfortunately it's gone now. Sad.. Well they have one inside the arcade upstairs but it's not the same. Which reminds me of the days when they still had jitz tables in the arcade. Good old days!

I practically grew up here, lived here!

Oh what would I do without Pmall."
2292055,miYhfaGXtqNlR__xY3YcNg,8ciT6qjI18x9EPtOb-gqYQ,5.0,"I went here with my family and was very impressed by both the service, the food, and the atmosphere. On the outside the restaurant doesn't look like much, but when you go in it is very cozy.  It is small, but they do have a room for bigger parties.  The restaurant is very romantic and also good for families.  They made sure my 3 year old nephew had his food out within minutes of our arrival, even though the entire party has not yet arrived.

The food was great and it was fun to just sit back, enjoy the company, and fill up. They don't rush you at all. I had the halibut and the fish itself was very well cooked, but I didn't like the coconut topping that came with it.  The brie plate was delicious.  The only downside is the price. The food is expensive, but if you don't mind - I think it is a great place for family meals or a romantic night out."
2749681,x53Dwd0eSh8wuqCI7_fVLQ,PdfyzKoGrCoFFhPlnOpqfw,5.0,"After much recommendations to try this place out. I suggested it to my husband when he was craving some crawfish similar to our favorite that closed last year. 

He went out and tried it with family and they all liked it and rave how much similarities it had to our favorite crawfish joint.

Today, I finally tried this place out and it's a Vietnamese restaurant with the seafood option. Pretty good especially when you're craving a bowl of seafood while others around you wants to eat pho, etc. 

[MY REVIEW IS SOLELY BASED ON THE SEAFOOD]

I got the #1 combo which consisted of black mussels, clams, crawfish and shrimp. It also came with two pieces of Italian sausage, two pieces of potatoes and three pieces of corn on the cob. The medium was spicy but I was still able to enjoy the meal without building up a sweat. :) My 6yr old and I were able to finish majority of it although if my husband were to eat some, we would've been able to finish it. Thus being, two adults sharing a bowl and it would be plenty. Now, the seafood is in a bag. They steam the seafood and then I'm assuming bag it, add the sauce, shake it up and serve. 

What I liked about it: 
They use a sauce to flavor up the seafood. Unlike the other joint down the street which used a dry seasoning. 
Crawfish and the other seafood were indeed fresh. The crawfish were huge which is a plus. The portion of the extras included (corn, sausage, and potatoes) were decent. 

What I didn't like:
The corn tasted a bit off as if it was previously boiled or was sitting in a pot of water overnight. It had a slight off taste. 

The restaurant is a bit small. So if you're bringing a large group, call ahead and reserve a table. Restrooms are pretty clean but nothing too special. No changing tables (for those mommies out there). Decor was those nets hanging around. It's okay considering they serve seafood and it was too tacky. 

Overall, if you liked Flamin' then you'll love it here. Only downside is that they don't have the MyTeas which was a favorite to compliment the spicy mix of seafood."
1304678,RyBg-kgIHcTPlAIoHLo3fA,j_prxgHnMvuRdrGjAI9qXQ,1.0,Very rude would not serve a group of 20 poeple because the host did not want to move tables together and sit us.
1267576,R71UAF1qIAuQiueRPxRDzw,SEvUFPydtLJ5eExD32Agxg,2.0,"My friend and I visited this place on a Saturday night around 9pm and the place was completely vacant.  None the less, the decor looked decent and we were craving crepes.  We ordered a dulce de leche (i think) with pears to share.  The pears to my disappointment were not cooked, nor was it ripe we had to to forcibly cut it with our forks and nevermind the texture. This is definitely lack of attention to detail, if the fruit isn't ripe, don't serve it! Dessert crepes to me are not suppose to be hard and crunchy! it should be sweet, smooth, velvety, melt in my mouth sort of thing.  So none the less big disappointment!"
1513783,WSptrgW8NLFBNvw1FOpifw,wIDVruCZFDnsIctf8gHotA,3.0,"The first leg on my flight was delayed which meant I would've missed my connection. Delta (no relations) gave me a red eye flight which meant 2 things:

1) more time with my baby - check
2) opportunity to try a new place for dinner - check

With a quick search on Yelp, I found The Larder + The Delta. They had a very unique menu including fried Pig Ears with Cheetos flavoring, Seafood Perlou, Nashville Fried Chicken and many more. The Low Country Perlou was what really intrigued me and excited to try it. I'm a sucker for any type of seafood medley. 

The Larder + The Delta is located in the DeSoto Central Market which is an upscale and trendy food court. It was our first time at DeSoto's so it was kinda cool to be able to check out a few different places at the same time. 

We walked to the back to the L+D and ordered the Low Country Perlou ($23) and the Cauliflower ($8). It's definitely more than you would expect for a food court dinner. With tip and taxes, we were out about $38. Ouch! 

I have to admit that they were quite generous with the seafood items in the perlou. The seafood items included head on shrimp, clams, mussels and Andouille sausage. Unfortunately, the rice in the dish was over salted - inedibly salty. We ate all of the seafood out of it and left the rice. 

The cauliflower was tasty but $8 is a little bit too steep. 

With all of that said, I'd probably wouldn't come back as there are so many restaurants I have yet to ventured out to try.

OH... $2 off apps during happy hour which is M-F 3-6pm."
1759324,ashLdfETja1i19VIpYoB0w,XmsBtCykUtObXg4Q1mYpvg,5.0,"I have never had a bad meal at this place, ever. They cater to vegetarians and carnivores alike, and they switch up their menus every so often. I personally love their fresh warm pretzels and beet burgers, while my boyfriend has deemed Graze ""the BEST burger in all of Madison"". It is a little on the pricier side, but with a great view of the Capitol and food to die for, it's worth a little more. Side note- do give their weird sounding homemade lemonades a try, last time I went they had some cranberry concoction that was pretty tasty."
253021,4ZwY2WkOQ-gIPlMzqMa7UA,Ie4MkcFAdgPhNtpzgpJX7g,1.0,"Ruined my favorite blue designer shirt (white marks, looks like they faded the color trying to clean). Blamed me for it and did not take responsibility. Will never go back! Do not recommend!  Enough said!"
2275686,mKemb3MpSyUbsVUVSmI5tg,-kG0N8sBhBotMbu0KVSPaw,4.0,"In the last 2 years: 16 airports, 50 personal arrivals\/departures, 7 friends pick-up\/drop-offs = alotta headaches! mostly airline related though.

Having said that, most of my positive experiences have been at Pearson. 

Positives: 
a. It's clean, ultra shiny
b. There's a ""cell lot"" (FREE parking while you wait to pick up someone) 
c. Shuttle from Viscount station (cheap[er] parking lot) runs between T1 & T3 often and quickly 
d. Many snack options
e. International flights leave from here! (Do you know how frustrating it is to live near an airport that goes to 2 places?)
f. Lots of signage makes it easy to navigate.
g. Large washrooms. (Try lugging a large suitcase\/backpack into a tiny washroom and you'll know why this is important.)

Negatives:
a. No efficient public transportation to the city core, yet. Supposedly slated for some time soon, but Pearson is the only airport I've been to in a major city that doesn't have transportation down yet. Get on it!!!"
1311769,S6FcHm0q8XQImc9q83ckew,FxWO8ZQ-aeU83MeiN5vHAQ,5.0,State of the art facility. Very impressed with diagnostic imaging and surgery suite and ICU for pets. Boarding area is very roomy. I know pets are going to be safe and comfortable. Loved care my pets received.
2160970,jnB_saJqNfOmVoCWquhAzg,oFR1GkbPwe6p2wqQOBOyHw,5.0,"All I can say it was amazing, the taste bugs were tingling and wanted more. The burgers are great they are fresh and not frozen also all beef. The fries can come with Cajun spice one it (highly recommended!).

While you wait they offer free peanuts, free is always great. Price is reasonable and quantity is great. the little fries on the menu is like jumbo fries as they top it up.

Watch out: not a place for peanut allergy folks as there are peanuts in the restaurant."
1211692,PtEQ6LrPT4qO5L7sno95Hw,OOoPLX3NdXHV8feM0iktrg,1.0,"If I could list this place with ZERO stars I would. In addtion to always feeling rushed by the doctor and never fully answering my questions, I can honestly say that this is a business for Dr.Littman, and she is concerned with the bottom line and obtaining the most from your insurance. Find a place that truly listens to you as a patient.
***
Dr.Littman gave me results that were inconsistent with her reasoning to aggressively try to get pregnant.  She insisted upon hormone therapy shots and IUF even though my husband had not been tested and after she revealed that I had NOTHING wrong with me. 

I had also had medical records sent to the office that contained blood work.  She insisted that those blood panels were not what they needed and so she ordered new ones.  While she read the results to me, I recoginized them as being the same blood tests.  That is considered fraud, Doctor! 

After I refused to continue with treatment, she then informed me that my insurance was covering most of it and began to play upon the emotions of a woman getting older and asked me if I thought that It was all worth it to get a baby.  

And by the way, I'm in my early 30's, I'm NOT OLD and she gave no medical reasons to support why I am unable to conceive.  In fact, I was told that I am in perfect health with slightly high cholesterol. Yet, she's confident a prescription won't work and I need to get aggressive with injections and artificial insemination. Go fly a kite, lady!

RUDE!
UNPROFESSIONAL! 
MONEY HUNGRY!
SERIOUS BAD BEDSIDE MANNER!
RUSHING PATIENTS OUT THE DOOR!"
2294385,mlShYmbG0PTRal5s7OeyrA,yJH_gq99aEj8xtyBaAQH8Q,3.0,"Das Onkel Otto in Stuttgart ist in meiner Familie schon seit wohl 70-80 Jahren bekannt, nachdem mein Vater meinte, dass dort schon mein Ur-Opa dort gespeist hat.
Das Ambiente ist dementsprechend urig - auch der Biergarten sieht nett aus , wobei ich bisher immer drinnen gesessen bin.
Über die anderen Speisen kann ich nichts sagen, da ich bei bisher jedem Besuch nur Schnitzel und Salat gegessen habe.
Die Schnitzel sind 1A - dünn und lecker paniert.
Die Salatbar is ebenfalls gut 8und frisch und der Kartoffelsalat ist wirklich leciker, nach original schwäbischem Rezept.
Besonders zu empfehlen ist es am Montag dorthin zu gehen, da Montags Schnitzeltag ist man Schnitzel-All-U-can-Eat für 7,90 € wirklich ein tolles Angebot ist.
Das Restaurant ist dementsprechen voll und eine Reservierung sinnvoll - die Bedienungen haben demnach viel zu tun - sollten aber ihre Stress-Laune nicht am Kunden auslassen.
Trotzalledem eine Empfehlung von mir."
1971659,f_cFLh1ecmYjd1yeo-93-w,7Q2cYSl5NBYytJzgjX0oKw,1.0,"Reserved a cabana to celebrate 4 birthdays at 7 pm on a Saturday.  Got there and got our party started, eating, drinking, dancing...at 10:15 pm the bouncers come over and tell us we have to be out by 10:30 pm that they sold it to another party that was starting at 10:30 pm.  What!?!?  We paid $500 minimum for 3.5 hours...are you kidding me!!!!!  The management is shady and we will not be back...EVER!  No mention of this when booking the cabana...just the $500 minimum...SHADY!!!!  I would give zero stars but you have to pick one."
274468,52BSd0kY8AndWPrybOMMsg,ES0ijQ-KlNPUoXl4tK1tDQ,5.0,"Oh me oh my, so classy. This mall is crazy nice and has a ton of super-expensive stores.

My personal favorites drew me in (Anthropologie, Teavana and Urban Outfitters) but I also meandered around some of the other stores. This place is an awesome place to play ""name the price"".

If you feel like going broke in a matter of hours, definitely check here out. 

Also if you like nice cars, drive around the back\/emptier parts of the parking lots... Maseratis, BMWs and Porches oh my!"
787186,GPXeCXlwepOq8AVccRXZiA,4LLNNwkveVoH1m6z_9jLGQ,4.0,"Oh my lanta! This place has amazing cocktails! I think we sampled nearly every drink in the menu... Yes, I do remember them. Our favorite was their take on a classic old fashioned. Simple, delicious and light. The blood orange tequila cocktail was also so good! Not too sweet, which I appreciated. 

The food, however, was just ok! I felt like they skimped on the quality of some of the main ingredients (a hot dog bun, my friends, can truly be a make or break). The poutine was a fun concept but our fries weren't hot! So sad, isn't it? I will give it to them though, their pirogies were out of this world tasty. They're deep friend... How bad can that be?) 

Our server was the nicest hipster I've ever met and the bartender was awesome so no complaints there.  

Overall would be very happy to return... As long as I have an uber to drive me home..."
520711,AQhRwPbxV43ZcoAdKGQPbg,hcFSc0OHgZJybnjQBrL_8Q,3.0,"Honestly, for the food I will give 4-5 stars. I had some issues with their serving and 2 stars would be fair. We Have been there couple of times, three times we were served with the same waiter, I didn't ask his name. Two of these three times this guy forgot to place part of our orders and let us wait for nothing until I asked him where is my dish. I had been waiting for an hour and got to leave, so asked him to cancel that dish. This guy almost yelled at me: I just placed it for you! The manager was pretty nice and apologized to us, but this guy didn't say anything till the end.

If they still hire this kind of waiters, we will never come back. Their serving doesn't match the high quality of the food, what a shame."
2784469,xsZ4s7a4MaBIh48MdMkkPw,xcmmTXhuMx2fZF2Bt69F4w,5.0,"The mussels here are my hands down favorite mussels in Pittsburgh. There are always several varieties, and sometimes variety on special. I always come for brunch, and I know I should branch out and try Point Brugge for dinner, but the brunch is just sooo delicious. 

I love to order the fixed price menu with a mimosa. Yum! The croque madam is delectable, and their house bechemel is simply divine. The waffles are a great choice as well, as is the omelette of the day. I have never had a bad omelette here. I usually order bacon as a side because it's always thick and cooked well done, just the way I like it. 

There is sometimes a bit of a wait for brunch because the place is so popular, so it's always worth the wait."
1259711,Qx8WMsFNHBfx6rIH_G0nBw,y2QENZ0Rre4EOveD0iFpBQ,3.0,"This is a pretty decent spot for bfast. It'll be my go to bfast place when I'm in town. 

I usually order the omelette (low carb). It's got a lot of stuff in it... and comes out pretty huge. I actually struggle to finish it, which is saying something. It costs around $6. 

Minus 1 star because it does take quite a while for them to make the omelette... not convenient when you're in a rush. 

Also minus 1 star because their smoothie is pretty bad (and it's not cheap). It tasted like juice from a can actually."
